City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,87,0,2.0,RU,1690221979
1,yellowknife,62.456,-114.3525,21.29,52,100,3.09,CA,1690221694
2,tura,25.5198,90.2201,24.65,90,100,1.83,IN,1690221861
3,keflavik,64.0049,-22.5624,13.95,87,100,3.6,IS,1690221985
4,edinburgh of the seven seas,-37.0676,-12.3116,14.63,81,70,15.81,SH,1690221982
5,anadyr,64.75,177.4833,11.28,87,75,6.0,RU,1690221990
6,albany,42.6001,-73.9662,29.97,64,74,2.78,US,1690221978
7,ushuaia,-54.8,-68.3,0.81,69,0,0.51,AR,1690221980
8,margaret river,-33.95,115.0667,16.23,75,2,8.21,AU,1690221882
9,rancho palos verdes,33.7445,-118.387,33.57,85,45,2.68,US,1690221855
10,kasongo,-4.45,26.6667,28.96,29,37,1.6,CD,1690222092
11,whitehorse,60.7161,-135.0538,15.57,82,75,4.12,CA,1690221863
12,ziro,27.6333,93.8333,15.16,97,99,0.68,IN,1690222092
13,grytviken,-54.2811,-36.5092,-5.71,75,86,4.51,GS,1690221982
14,saint-pierre,-21.3393,55.4781,20.82,83,0,2.06,RE,1690221978
15,puerto madryn,-42.7692,-65.0385,7.78,64,100,10.94,AR,1690222003
16,nova sintra,14.8667,-24.7167,23.09,77,96,6.06,CV,1690221989
17,mount pearl,47.5166,-52.7813,25.25,84,75,8.23,CA,1690221980
18,kushiro,42.975,144.3747,18.88,91,100,3.11,JP,1690222092
19,st. john's,47.5649,-52.7093,25.71,84,75,8.23,CA,1690221942
20,katsuura,35.1333,140.3,24.59,90,13,3.51,JP,1690222093
21,revda,56.801,59.9303,13.51,94,82,2.01,RU,1690222093
22,iqaluit,63.7506,-68.5145,9.85,71,75,5.14,CA,1690221981
23,nemuro,43.3236,145.575,16.25,97,100,4.8,JP,1690221985
24,port-aux-francais,-49.35,70.2167,3.95,71,100,11.24,TF,1690221978
25,happy valley-goose bay,53.3168,-60.3315,27.17,50,75,6.69,CA,1690221764
26,hawaiian paradise park,19.5933,-154.9731,24.73,92,100,0.45,US,1690221984
27,caraballeda,10.6112,-66.8522,35.04,51,40,1.03,VE,1690222093
28,saynshand,44.8824,110.1163,24.56,30,17,1.88,MN,1690222008
29,waitangi,-43.9535,-176.5597,11.57,98,100,2.24,NZ,1690221984
